time(s)	cellId	rnti	lcid	packetSize
3.872	1	4	3	302
3.872	1	3	3	112
3.872	1	2	3	302
3.874	1	1	3	128
3.874	3	2	3	112
3.877	3	4	3	255
3.878	3	1	3	167
3.881	3	2	3	56
3.883	3	4	3	56
3.887	3	2	3	112
3.893	3	2	3	167
3.897	3	4	3	112
3.9	3	2	3	56
3.903	3	4	3	56
3.906	3	2	3	56
3.908	1	2	3	191
3.908	3	1	3	167
3.911	1	4	3	191
3.911	1	1	3	64
3.912	3	2	3	239
3.913	1	1	3	64
3.917	3	4	3	112
3.92	3	2	3	128
3.923	3	4	3	56
3.926	3	2	3	128
3.928	3	1	3	167
3.929	3	1	3	56
3.932	3	2	3	374
3.938	3	2	3	207
3.942	3	4	3	112
3.944	3	2	3	144
3.949	1	3	3	167
3.949	1	2	3	255
3.949	3	4	3	56
3.95	3	2	3	430
3.953	3	1	3	167
3.955	1	4	3	255
3.955	1	1	3	128
3.956	3	2	3	64
3.957	1	1	3	64
3.964	3	2	3	56
3.967	3	4	3	167
3.969	3	4	3	56
3.97	3	2	3	167
3.977	3	2	3	56
3.983	3	1	3	445
3.984	3	2	3	56
3.986	1	4	3	155
3.986	1	3	3	167
3.986	1	2	3	175
3.987	1	4	3	22
3.987	1	1	3	64
3.987	3	4	3	112
3.988	3	4	3	56
3.99	3	2	3	167
3.996	1	1	3	64
3.998	3	2	3	56
4.003	3	2	3	56
4.003	3	1	3	302
4.008	3	4	3	318
4.008	3	2	3	167
4.009	3	4	3	128
4.017	3	2	3	56
4.022	1	3	3	167
4.022	1	2	3	112
4.023	1	4	3	112
4.023	1	1	3	191
4.023	3	2	3	112
4.027	3	1	3	191
4.028	3	4	3	247
4.029	3	4	3	56
4.03	3	2	3	128
4.036	3	2	3	191
4.041	3	2	3	191
4.046	3	1	3	255
4.047	3	2	3	183
4.052	3	2	3	112
4.053	3	4	3	191
4.058	1	4	3	112
4.058	1	3	3	167
4.058	1	2	3	112
4.058	1	1	3	64
4.058	3	2	3	112
4.064	3	2	3	56
4.067	1	1	3	64
4.071	3	1	3	175
4.072	3	2	3	56
4.077	3	2	3	112
4.078	3	4	3	255
4.083	3	2	3	56
4.091	3	2	3	56
4.096	3	1	3	112
4.097	1	4	3	112
4.097	1	3	3	223
4.097	1	2	3	112
4.097	3	2	3	112
4.099	1	1	3	191
4.102	3	2	3	56
4.103	3	4	3	175
4.107	3	2	3	112
4.113	3	2	3	56
4.119	3	2	3	56
4.125	3	2	3	112
4.126	3	1	3	112
4.127	3	4	3	112
4.13	3	2	3	56
4.132	1	3	3	167
4.134	1	4	3	167
4.134	1	2	3	167
4.134	1	1	3	56
4.136	3	2	3	56
4.142	3	2	3	167
4.15	3	2	3	56
4.156	3	1	3	112
4.157	3	4	3	112
4.161	3	2	3	56
4.166	3	2	3	223
4.172	1	4	3	167
4.172	1	3	3	445
4.172	1	2	3	167
4.175	3	2	3	56
4.176	3	1	3	167
4.177	3	4	3	112
4.181	3	2	3	112
4.189	3	2	3	128
4.195	3	2	3	128
4.2	3	2	3	191
4.2	3	1	3	167
4.202	3	4	3	167
4.206	3	2	3	191
4.21	1	3	3	302
4.21	1	2	3	167
4.211	3	2	3	183
4.212	1	4	3	167
4.217	3	2	3	56
4.222	3	4	3	112
4.222	3	2	3	56
4.223	3	4	3	56
4.224	3	1	3	167
4.227	3	2	3	112
4.233	3	2	3	56
4.235	1	4	3	56
4.235	1	3	3	191
4.235	1	2	3	167
4.239	3	2	3	56
4.243	3	4	3	167
4.245	3	2	3	112
4.251	3	2	3	56
4.253	3	1	3	167
4.256	3	2	3	112
4.26	1	3	3	255
4.261	1	4	3	167
4.261	1	2	3	223
4.262	3	2	3	56
4.263	3	4	3	167
4.268	3	2	3	56
4.274	3	2	3	167
4.278	3	1	3	223
4.281	3	2	3	56
4.283	3	4	3	167
4.287	3	2	3	56
4.289	3	4	3	56
4.293	3	2	3	167
4.295	1	4	3	155
4.295	1	3	3	175
4.295	1	2	3	167
4.296	1	4	3	70
4.301	3	2	3	56
4.303	3	1	3	167
4.304	3	4	3	112
4.305	3	4	3	56
4.306	3	2	3	112
