file,node,event,time,rate,mac_type,retry,length,src_ip,dst_ip,ip_id,l4,src_port,dst_port
5g_playfield_ascii_traces-4-1.tr,4,r,6.56579,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.5658,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56592,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.56595,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56611,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.56613,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.5663,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.56632,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56651,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.56653,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56664,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56696,OfdmRate6Mbps,MGT_ACTION,1.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.56697,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56708,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.56712,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56728,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.5673,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56747,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.56748,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56768,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.5677,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56781,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56981,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.57001,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.57022,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.5704,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.57053,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.57074,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.57566,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.59259,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.80301,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.8034,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.80398,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.8043,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.90396,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.90428,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.90485,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.00012,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.00032,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.00061,OfdmRate12Mbps,QOSDATA,0.0,178.0,10.0.0.4,10.0.0.1,5.0,UDP,49153.0,7003.0
5g_playfield_ascii_traces-4-1.tr,4,t,7.00236,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.00269,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.00486,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,7.06553,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.06644,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.06658,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.06664,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.06671,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.06685,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.06691,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.06704,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.0671,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.06716,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.06732,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.06738,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.06745,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.09055,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.18097,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.18113,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.18134,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,7.18135,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.1815,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,7.18152,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.18163,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,7.20001,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.20027,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,7.20028,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.20039,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,7.20044,OfdmRate12Mbps,QOSDATA,0.0,178.0,10.0.0.5,10.0.0.1,5.0,UDP,49153.0,7004.0
5g_playfield_ascii_traces-4-1.tr,4,r,7.20066,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.20086,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,7.20106,OfdmRate18Mbps,QOSDATA,0.0,178.0,10.0.0.5,10.0.0.1,5.0,UDP,49153.0,7004.0
5g_playfield_ascii_traces-4-1.tr,4,r,7.20141,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
